created_at,express_pk,PK_x,creator,expression_answer,PK_y,express_question
1707935340,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#1ae57ecc-3a4f-4fc4-b042-43037dd7018e,user#user_2YoW9eFdjtwR4YYfpGg7f4MmLX6,"I think for dating it’s OK that you don’t have a shared value, but if the goal is to get married, is to spend the rest of your life with this person. Then shared value and goals are a must ",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1713027059,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#52ccf9aa-ff94-4f39-8810-6d6d690c4ce5,user#user_2f3Og7u2pr8pcuo5vUp0FCXkXni,"Values should be shared in a relationship but both goals, people can have different goals and that’s ok but values should resonate",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1713618595,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#6e773a0e-b1ec-4918-8087-0de203feb22a,user#user_2YkTlbTqMuKBhQApoIFkx6Fvtar,very important,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1713641807,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#7c8b74da-8531-4c16-b1c6-b804e77f0b10,user#user_2fNUN8nUmtgrjAZ66fYlmFUYgdD,Important ,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1714014459,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#0d402997-fbf6-4fc8-922d-26762426944b,user#user_2fZfdpDypnRf7900P2uM0pqDpj6,It’s the key to learn and grow together ,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1715713542,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#cef265b2-60d6-42f5-bbb9-d179a1dee421,user#user_2gTBUnjiWshIOCD7OMp6WMYdrfG,They build upon each others ideas well and can bring light to new ones. ,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1715845197,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#1dec8bd5-794c-44f2-b31f-b0d832eb4677,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Shared goals drive motivation.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1715984060,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#996d811b-8ccd-46c2-b604-32bbae0a37bf,user#user_2b1FSz7FIpO1EFC6OueZAIaa1Hs,"Common values foster empathy, because common goals can unite people together.",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716008248,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#b0b4d6e8-1016-4194-b2a7-2e60e23b1e70,user#user_2gcY9rkcdNo7vSrMVsOLxns1fep,Shared goals inspire growth. Only when we have a common goal can we know where to start our efforts.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716077660,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#e1243563-655e-4a6e-8405-2308604fe92c,user#user_2gf7uZqCj5uPh0POZt31rfXC1LU,"I think it’s the foundation of a relationship, I don’t even want to be friends if we don’t have shared values ",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716324172,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#8e81a2af-8f50-42f0-b018-d2c4247b0b49,user#user_2gRQBCsmKqY9y2gg7QiqN0L6hQh,"Some differing values and goals in a relationship are compatible and complement each other. However, it is far better to have at least a few shared values and goals because they ensure that the couple will be able to keep their eyes on the prize in the long run! As far as shared values—an ability to respect boundaries and definitions of fidelity (everyone is different), goals in life as far as family (want kids or not), looking to eventually get married or not, and religious views.",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716344136,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#e05f9915-00e8-489f-9bd4-a35c1776ccce,user#user_2YYNVmnbOHGWtLo2Xil0pRZHRAo,"Shared values and goals ensure that we can overcome the small frictions, which are unavoidable. Just gotta ask.",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716392866,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#ca67ea9a-12dd-4dbe-b300-5d3bbbb933da,user#user_2gp7LBHOzB56kTgJfJTTOoP61AL,They ensure long-term happiness. Don’t wanna kill the person after 25 years.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716397319,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#79e4fb22-535c-4cac-8481-c3b1eaf10d85,user#user_2dIJ4J0ChFzAsgBCzqddyKFQn1K,They nurture mutual support.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716410241,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#295dd333-d679-429e-afe5-c37dc9a06800,user#user_2gpvNULgfwpZIJjuuAX2npUUq6T,They build deeper connections. Just listen and share.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716417800,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#beb75ef9-c8d6-449c-9f9d-18a9aedbd350,user#user_2fFipKCJx2XaeXMpFuVMiMtRH4s,Super important. Otherwise you guys will make many different choices in important occasions.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716560392,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#b0337f5b-169d-4439-a8ca-ef0b49ee813c,user#user_2gsQLxRwB4st5ADigeP2kVmDobs,They provide stability. You need the same goals to deal with everyday frictions. You care less about everyday small unpleasantness. Shared values help stay focused on bigger goals like having kids and achieving certain career goals. Need to find someone who aligns.,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1716725361,express#647f90b7-d38a-4066-8c7a-09bed2fd0083,expression#fee522fd-924a-4301-8626-995d3c370667,user#user_2fBxS659N6pIiEcAIHAgkuAc49v,"Opposites attract, which brings different perspectives into everyday boring life.",express#647f90b7-d38a-4066-8c7a-09bed2fd0083,What are your thoughts on the importance of shared values and goals in a relationship?
1707879240,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#e03a4651-5535-4b76-b988-ced713b9869e,user#user_2YoW9eFdjtwR4YYfpGg7f4MmLX6,Receive Quality time and physical touch for me. To give? It depends on what she wants!,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1708188476,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#01362548-1f6d-4461-bfc6-09c2e7bb403d,user#user_2Zir3t0Q0AWPkby5ZGdjTUp5FNO,"Cooking for each other, making artworks for each other(like gifts or recording good memories), and accompany each other when needed.",express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1708400284,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#b46e94ee-ff38-4bb3-847b-e7c5f3c72adb,user#user_2cbvZZ6hcHheeuOf0Q36kmNR356,"I think it’s all about chemistry, if you click then you click . I’ve met people that seem like I’ve know them my whole life ; and I’ve known people my whole life and there’s zero spark . 
Just being in the moment, being spontaneous and having fun . Kissing and cuddling are nice , and every now and then , let devil out to play 😈",express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1713641200,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#2e2c1854-e907-4b49-bb7a-454092f4dc47,user#user_2fNUTLZ9Atm73QmWQntc7OkLX8g,through compliments and quality time,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1713707110,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#ac61b5cb-a705-41c0-82e0-6d0318c82c4d,user#user_2fBxS659N6pIiEcAIHAgkuAc49v,physical touch and quality time! ,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1713716573,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#a9ef21c0-de70-4d94-8d13-63c19ea4670e,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,"Friendly to my lover, vice versa.",express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1714173229,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#d29b0ee2-f596-41b4-86a3-6467a9fdf83b,user#user_2fZEqltE04m70gddEuqMBFqb4e5,quality time,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1714750050,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#9121c940-1719-41a6-aa13-7c525c467058,user#user_2YXzN3M6f7RxAL7uAi7qF4PBaW8,Physical touch and quality time,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1714936333,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#1ba095a0-5bc0-4e90-ae9f-72371f211108,user#user_2fEzJEp5lUhkYUyfHuo4o1WCKWz,"Deep convos, listening well, authenticity, care, wishing the best for the other person",express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1715565365,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#033b6a8c-4038-43d0-a802-f1cade7f97d7,user#user_2gOHlwV6PnB2ulLLcee81hUyraY,Respecting their space.,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1715631361,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#427f606e-cbd0-4bd7-a32a-d6f605340537,user#user_2gQVxatgGd1hsuX43WwBmmNmwg9,"Affirmative words, comforting touch, quality time, with the most meaningful being time.",express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1716000491,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#c7ea24a9-86df-482c-a6cc-9cd7fa3b96a8,user#user_2gcY9rkcdNo7vSrMVsOLxns1fep,"Playing games together, especially Mahjong.",express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1716484392,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,expression#677a8b64-518c-43b7-8ed8-48d07311e153,user#user_2gpvNULgfwpZIJjuuAX2npUUq6T,Physical touch. Enjoys any kind of physical touch.,express#fc6d0dc1-4e40-4fbc-83bb-bb1fa1479ff6,"How do you express and prefer to receive love and affection? Answer with love languages, or however you like!"
1708308262,express#6790428d-e576-438a-939e-510cdc56a920,expression#0e9a4817-17be-440b-82ed-fb0d3f462449,user#user_2cZ8kXcxYFX3aFJZDWLvu2uslCC,Family is a very important part of my life as I work and take care of my family ,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712611791,express#6790428d-e576-438a-939e-510cdc56a920,expression#ac12b61f-8717-4909-ba48-2e6531efab33,user#user_2YYNVmnbOHGWtLo2Xil0pRZHRAo,"I set my own values. Although I am positively influenced by my family’s values, I tend to believe that these values are just there to guide but not to be actively or intentionally passed on ",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712672346,express#6790428d-e576-438a-939e-510cdc56a920,expression#08e6bc07-1b88-4f12-bcc5-e7ba43b9cdd2,user#user_2bP2Rw0wUFI50EpT2tcthFQNCAm,Blessing to be Blessed,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712695783,express#6790428d-e576-438a-939e-510cdc56a920,expression#faec0e83-e431-485d-9c52-fd8c3538db93,user#user_2esaNYfe4VYyPYW8CMdN5mR2MuS,Take care of your family when you can,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712791850,express#6790428d-e576-438a-939e-510cdc56a920,expression#4937cdd2-3987-4af9-ab48-4b13e2366530,user#user_2evipiLWFJNTAa2JbaCvuUzZx2Z,"sincerity, compassion, enjoy life at the moment",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712801450,express#6790428d-e576-438a-939e-510cdc56a920,expression#ff1ccdc3-0379-481f-87b1-69867808156a,user#user_2YXzN3M6f7RxAL7uAi7qF4PBaW8,"Nope, no family influence at all ",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712817835,express#6790428d-e576-438a-939e-510cdc56a920,expression#3b61f27e-fa58-4d24-ac66-768bf806d24b,user#user_2ewYEXRZNhOik4gDFdwHAE0HBBi,"My parents value ambition, hard work, reputation and financial stability. My partner and I are ambitious, but we’re more entrepreneurial and have relatively unconventional lives by our original social circles’ standards. If we have a child, we’d want to make sure they have a lot of self-compassion and lead a wholesome life in which they can be their authentic self. ",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712880511,express#6790428d-e576-438a-939e-510cdc56a920,expression#d2684424-a125-412c-aebb-295b9700af1a,user#user_2evV0EX0sZAaqipKl182cS8Zwzb,"Culture, religion and language.",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1712882640,express#6790428d-e576-438a-939e-510cdc56a920,expression#a623ffc0-2576-498c-84c8-300e3ab02580,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Idk I have no idea,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1713177671,express#6790428d-e576-438a-939e-510cdc56a920,expression#ab36a24f-afd2-4d9b-83ba-be68dfa5afa0,user#user_2f7ozvfkunUSxOrUMZfiykFPlk1,I do not plan to pass any family value on,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1713372440,express#6790428d-e576-438a-939e-510cdc56a920,expression#9283b402-7ede-490b-b8c6-3d02b65ad28a,user#user_2fBxS659N6pIiEcAIHAgkuAc49v,"so my family members values being together even despite differences, maybe even some arguments every now and then but always we stay with each other and stick with each other. ",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1715714667,express#6790428d-e576-438a-939e-510cdc56a920,expression#c2be76b0-9cf2-43d1-8323-92fc1b5266bb,user#user_2gTBUnjiWshIOCD7OMp6WMYdrfG,"Extremely important that I stay close to my family until the end, they are my world and I plan to pass down the things they taught me one day to either my children or the youth in general.",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1716410267,express#6790428d-e576-438a-939e-510cdc56a920,expression#8c78e98c-0bd7-43c3-a841-f89bddbf3b4a,user#user_2gpvNULgfwpZIJjuuAX2npUUq6T,Emotional support network.,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1717809227,express#6790428d-e576-438a-939e-510cdc56a920,expression#2891888d-c5c2-4d80-9c3d-ac64c4e0bd5b,user#user_2f2psuyo7iynOnSzdK0t7Mmta2w,not at all I think,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1717809273,express#6790428d-e576-438a-939e-510cdc56a920,expression#8ff9dd97-a119-4e38-808a-36644a06480b,user#user_2f2psuyo7iynOnSzdK0t7Mmta2w,not at all,express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1718422402,express#6790428d-e576-438a-939e-510cdc56a920,expression#61eadc5c-c12a-48b9-a68d-5cd1939ede6e,user#user_2fEzJEp5lUhkYUyfHuo4o1WCKWz,"Love and appreciate family. Family love is one of the best parts of life, it's very deep. ",express#6790428d-e576-438a-939e-510cdc56a920,"What role do family values play in your life today, and how do you plan to pass them on (if at all)?"
1716350808,express#920140a3-c88f-4868-9199-d4aa7e5c6de6,expression#db756d97-1ee3-4a96-a0be-9f967c434156,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Dressed as a superhero,express#920140a3-c88f-4868-9199-d4aa7e5c6de6,What's the most outrageous thing you've done to impress someone on a date?
1718320088,express#920140a3-c88f-4868-9199-d4aa7e5c6de6,expression#8fb53c87-2839-40c7-8f55-11091114efaf,user#user_2h6cMsYdx6CiVQoW12vnTHEkbBy,"The most outrageous thing I did to impress someone on a date was cooking a delicious meal, which was Fried Skin Salmon Spaghetti with Tomato sauce. ",express#920140a3-c88f-4868-9199-d4aa7e5c6de6,What's the most outrageous thing you've done to impress someone on a date?
1718225813,express#142ddb2f-f337-4a4a-8cd0-4d3886d6872e,expression#19f8d2e3-15e1-49d5-8166-bedbce22414f,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Interviews with big name companies give me anxiety because you need to prepare a lot to pass it. ,express#142ddb2f-f337-4a4a-8cd0-4d3886d6872e,What random thing gives you anxiety?
1707879206,express#e5443950-e788-438d-b308-a897713fe99f,expression#28dbdbc0-4ff9-47a0-abd1-958cbb344040,user#user_2YoW9eFdjtwR4YYfpGg7f4MmLX6,Press lounge at NYC. Best view of Manhattan midtown. ,express#e5443950-e788-438d-b308-a897713fe99f,What's a secret spot or hidden gem that only you know about? Share a photo!
1708045390,express#e5443950-e788-438d-b308-a897713fe99f,expression#962f78ec-5d3d-43ad-aa9a-114188a6dcff,user#user_2cQYO9Ki3nFmGBtfNUMT8CEMyzE,"Xxxx
",express#e5443950-e788-438d-b308-a897713fe99f,What's a secret spot or hidden gem that only you know about? Share a photo!
1716347492,express#e5443950-e788-438d-b308-a897713fe99f,expression#d9abd756-77a8-44d8-bc57-945e19104dba,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Hidden urban garden,express#e5443950-e788-438d-b308-a897713fe99f,What's a secret spot or hidden gem that only you know about? Share a photo!
1715391364,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#f89136fb-b6c4-4e41-8800-b55b0fb76d18,user#user_2g9nWbnU8Ep4OLOgUDOuwaR6XRY,Make you happy by being positive.,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1715439738,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#f2a567d1-c7ec-4399-9e85-fc55bb7f284e,user#user_2gGOhm45tGpcnwFt8tZh4aysZQR,"Someone who can have an intellectual conversation with me, about almost everything, as long as the discussion is in-depth.",express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1715446797,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#d1f0b586-1b2e-49c4-9460-85db941244eb,user#user_2gHZk2C2qV4ixicuE3Ok4Cdd7oe,"Either a powerful person I would admire but still kind-hearted, or someone who may not be powerful, but is pure and kindhearted. If they could get my sense of humor and provide feedback, that would be even better.",express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1716347427,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#71a49ea7-b91e-4fd6-9070-f5f4c4a91f99,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Adventurous spirit,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1716437477,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#4fff02e3-b4c5-46d4-b5b4-f3fc2d4a42bc,user#user_2gqCGQMtZiMJELI36b8zEIChIdE,"Someone we can have a blast together. Really depends the best friends or people that you can have a good time doing whatever even even just like grab a random lunch together. Recently, just KFC actually.",express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1716676469,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#7c4e5d53-e719-4fc8-94fe-25c13865ba2d,user#user_2gp7LBHOzB56kTgJfJTTOoP61AL,Reliable and dependable,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1716750691,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#d92383a5-5723-4ee4-9cb0-7370bf8ec366,user#user_2fBxS659N6pIiEcAIHAgkuAc49v,Someone who’s cheerful and up for an exciting time together. Just got to be chill and fun. ,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1717508364,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#ec286bec-067d-4df1-8e38-244652dbb947,user#user_2YoW9eFdjtwR4YYfpGg7f4MmLX6,Adventurous spirit ,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1717629814,express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,expression#298091fb-e2e2-4e35-a3f1-d330b3acc2ab,user#user_2fEzJEp5lUhkYUyfHuo4o1WCKWz,"Someone who is genuine, kind, caring, and unafraid to be themselves.",express#74c82e8e-bc5f-458f-b1a9-3d60e4e563ff,Describe your ideal friend
1707935368,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#92b8fd12-df28-4d17-9472-21e830a8679f,user#user_2YoW9eFdjtwR4YYfpGg7f4MmLX6,I think there’s always good integration there’s never one or another,express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1708187655,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#1378d744-2eb6-4b16-a571-3662f26f183e,user#user_2Zir3t0Q0AWPkby5ZGdjTUp5FNO,"My personal time is much more important than dating. I can gain happiness from my personal time. And only if I’m happy, I can go dating.",express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1708275898,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#d9d55f3e-bd2d-4e58-9e19-06095a2d8d3e,user#user_2bhsOcOlT8mnuPaGjt7TYB0ORgN,Yoga,express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1708308349,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#58198664-a284-4353-9404-d15c2a81240d,user#user_2cZ8kXcxYFX3aFJZDWLvu2uslCC,"WELL, nowadays I can organize my schedule so I don’t to work extra hours anymore, so it is ok for me to balance my other roles in life and work ",express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1713746138,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#cc6d3fee-cac7-4fd5-b138-d031311bfeaf,user#user_2fBxS659N6pIiEcAIHAgkuAc49v,Just gotta be upfront with regard to expectations with the other person,express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1713746643,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#090eb19d-faa9-4d15-b541-dd538ed3d9b1,user#user_2YYNVmnbOHGWtLo2Xil0pRZHRAo,Me time comes first. I will date when it fits my schedule.,express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1714936639,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#b95776c5-18c3-4e5c-82dc-289438766886,user#user_2fEzJEp5lUhkYUyfHuo4o1WCKWz,Rare for me to be interested in someone,express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
1716001204,express#8403ff0b-2608-4a40-9581-57c4596f6792,expression#025210bd-bb7b-4d2c-9652-b9defd2a12ac,user#user_2gcY9rkcdNo7vSrMVsOLxns1fep,Keep separate hobbies. Watching Netflix.,express#8403ff0b-2608-4a40-9581-57c4596f6792,How do you balance your personal time and space with dating?
